Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-08-15,3266.994338,3324.419351,3332.51,3209.07
ETH,2021-08-16,3311.56,3266.966704,3322.52,3116.04
ETH,2021-08-17,3147.34,3311.56,3336.837596,3137.01
ETH,2021-08-18,3012.03,3147.34,3291.375915,2995
ETH,2021-08-19,3014.36,3011.95,3125.594514,2952.91
ETH,2021-08-20,3185.183344,3014.38,3187.48,2961.457421
ETH,2021-08-21,3286.047004,3185.166579,3301.022087,3180.36
ETH,2021-08-22,3226.933456,3286.073802,3310,3210.21
ETH,2021-08-23,3242.507272,3226.96253,3274.71,3131
ETH,2021-08-24,3320.619191,3242.506736,3378.6,3235.360736
ETH,2021-08-25,3173.689343,3320.622527,3359.52,3149.447141
ETH,2021-08-26,3228.51,3173.689346,3248.99,3080.885
ETH,2021-08-27,3093.18,3228.51,3250.55,3056.25
ETH,2021-08-28,3275.659008,3093.181822,3282.110881,3063.665668
ETH,2021-08-29,3246.672557,3275.716682,3286.163547,3214.413784
ETH,2021-08-30,3225.66087,3246.724602,3286.51,3155.03
ETH,2021-08-31,3226.619071,3225.663751,3348.3,3147.01
ETH,2021-09-01,3432.335123,3226.62498,3473.56,3190.95
ETH,2021-09-02,3830.81,3432.223577,3841.69,3385.18
ETH,2021-09-03,3788.18,3831.7,3836.85,3725.36
ETH,2021-09-04,3938.382738,3788.47,4026.927441,3713
ETH,2021-09-05,3887.069324,3938.630968,3970,3836.16
ETH,2021-09-06,3952.490251,3887.153274,3982.775603,3836.77
ETH,2021-09-07,3928.89,3952.489786,3969.9,3868.8
ETH,2021-09-08,3429.61,3928.89,3947.218987,3027.28699
ETH,2021-09-09,3498.754733,3429.61,3560.19,3218.21
ETH,2021-09-10,3423.718544,3498.763999,3567.37,3395.435
ETH,2021-09-11,3207.878737,3423.82,3511.90203,3150
ETH,2021-09-12,3265.25269,3208.129265,3346.58,3203.1
ETH,2021-09-13,3407.466508,3265.256648,3471.24,3233.384979
ETH,2021-09-14,3285.430452,3407.466542,3429.13,3116.81
ETH,2021-09-15,3435.948,3285.460319,3436.19,3271.91
ETH,2021-09-16,3614.81,3435.07,3616.19,3362.44
ETH,2021-09-17,3569.252747,3614.81,3674,3486.27
ETH,2021-09-18,3398.404346,3569.250804,3592,3351.685148
ETH,2021-09-19,3436.497704,3398.435371,3541.53,3370.19
ETH,2021-09-20,3328.583989,3436.466743,3455.337,3280.36
ETH,2021-09-21,2975.29,3328.606521,3345.44,2922.19
ETH,2021-09-22,2763.54,2976.48,3102.54136,2653.68
ETH,2021-09-23,3077.493825,2764.81,3090,2738.997
ETH,2021-09-24,3154.798068,3077.729567,3174.045544,3038.21
ETH,2021-09-25,2930.156891,3154.803412,3159.538956,2738.4
ETH,2021-09-26,2924.454127,2930.029719,2967.34,2806.55
ETH,2021-09-27,3063.54168,2924.391966,3116.07,2742.45
ETH,2021-09-28,2927.360146,3063.504855,3165.835687,2925.29
ETH,2021-09-29,2806.657645,2927.367286,2968.739362,2791.12
ETH,2021-09-30,2851.08,2806.67013,2948.52,2784.254
ETH,2021-10-01,3000.59,2851.270351,3047.5,2838.1
ETH,2021-10-02,3309.63234,3000.59,3331.859253,2970.01
ETH,2021-10-03,3390.487447,3309.571077,3466.95,3260.938591
ETH,2021-10-04,3419.164706,3390.48027,3487.93,3345.38
ETH,2021-10-05,3384.407481,3419.352298,3437.06,3275.13
ETH,2021-10-06,3517.6,3384.637572,3544.68,3366.396183
